ui_number,ffl_number,ffl_type,ffl_proprietor,ffl_proprietor_2,ffl_address,ffl_city,ffl_state,ffl_zip,ffl_county,inspection_assign_date,inspection_complete_date,revocation_effective_date,final_disposition,revocation_warranted,violations,report_url
777070-2017-0051-B1B,1-64-049-07-7B-03736,Manufacturer,"Downrange Sporting Goods, LLC",,227 East Pearl Streel,Jackson,MS,39201,Hinds,2016-10-06,2017-02-28,,Warning letter,N,"478.123(d), 478.21(a), 478.124(c)(1), 478.124(c)(3)(iv), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/777070-2017-0051-B1B.pdf
767035-2016-0034-B1B,1-59-021-08-7D-13307,Importer,Cole Gunsmithing Inc.,,5740 Shirley Street,Naples,FL,34109,Collier,2015-10-09,2016-01-28,,Warning letter,N,"478.124(c)(1), 478.21(a), 478.124(c)(5), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/767035-2016-0034-B1B.pdf
763075-2017-0108-B1B,1-57-041-01-6G-02779,Dealer,"Shawn Delvin Curl, William Herbert Griffin","Griffin, Co.",1209 N Cashua Drive,Florence,SC,29501,Florence,2016-11-22,2017-04-04,,Warning letter,N,"478.124(c)(4), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/763075-2017-0108-B1B.pdf
779080-2016-0124-B1B,5-42-196-01-5H-02940,Dealer,American Brothers In Arms LLC,,4108 Morningside Ave,Sioux City,IA,51106,Woodbury,2015-10-01,2017-02-14,,Warning letter,N,"478.125(e), 478.126a, 478.131(a)(2), 478.124(c)(5), 478.21(a), 478.124(c)(1), 478.124(c)(3)(iv)",https://atf-inspection-reports.s3.amazonaws.com/779080-2016-0124-B1B.pdf
776070-2017-0157-B1B,1-62-065-01-7C-03404,Dealer,Montlake Classic Clays LLC,,2009 Mowbray Pike,Soddy Daisy,TN,37379,Hamilton,2017-01-31,2017-05-03,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(iv), 478.124(c)(5), 478.126a, 478.99(c), 478.124(a), 478.129(b), 478.125(e), 478.102(a)",https://atf-inspection-reports.s3.amazonaws.com/776070-2017-0157-B1B.pdf
788060-2016-0131-B1B,9-81-049-02-7F-01477,Pawnbroker,Good Buddy Pawn LLC,,1202 Helena Ave.,Helena,MT,59601,Lewis And Clark,2016-02-23,2016-04-13,,Warning letter,N,"478.125(e), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.131(a)(2)",https://atf-inspection-reports.s3.amazonaws.com/788060-2016-0131-B1B.pdf
785110-2015-0247-B1B,9-86-017-01-7C-02879,Dealer,"Ellis, James Robert",Andy's Ammo Guns,3101 E. Sitgreaves,Show Low,AZ,85901,Navajo,2015-07-30,2015-10-16,,Warning letter,N,"478.126a, 18 USC 923(g)(5)(A)",https://atf-inspection-reports.s3.amazonaws.com/785110-2015-0247-B1B.pdf
763025-2016-0329-B1B,1-56-025-01-9F-08606,Dealer,"Jackson, Bennie Wayne",Heritage Arms And Findings,5040 Overcrest Dr,Kannapolis,NC,28081,Cabarrus,2016-06-09,2016-10-05,,Warning letter,N,478.125(e),https://atf-inspection-reports.s3.amazonaws.com/763025-2016-0329-B1B.pdf
781085-2016-0315-B1B,5-75-231-02-6C-01898,Pawnbroker,Insta Cash Assets Management LP,Insta-cash Pawn,703 East Quinlan Parkway,Quinlan,TX,75474,Hunt,2016-03-11,2016-07-25,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/781085-2016-0315-B1B.pdf
782075-2016-0146-B1B,5-76-201-07-7L-04637,Manufacturer,"Pacis Per Vires, LLC",,6100 Corporate Dr. Ste. 234,Houston,TX,77036,Harris,2016-02-24,2016-08-01,,Warning letter,N,"478.21(a), 478.102(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5)",https://atf-inspection-reports.s3.amazonaws.com/782075-2016-0146-B1B.pdf
775045-2016-0281-B1B,4-61-093-02-8J-03427,Pawnbroker,"Clark, Daniel Lee",Anything Pawn,1137 N Dixie Hwy,Radcliff,KY,40160,Hardin,2016-06-08,2016-08-12,,Revocation/denial of renewal,Y,"478.125(e), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.126a, 478.131(a)(2), 478.102(a), 478.124(a), 478.129(b), 26 USC 5861(d)",https://atf-inspection-reports.s3.amazonaws.com/775045-2016-0281-B1B.pdf
767080-2017-0024-B1B,1-59-071-08-8H-17699,Importer,"Sarac Distributors, LLC",,"6391 Corporate Park Circle, Suite 1",Fort Myers,FL,33966,Lee,2016-10-03,2016-11-09,,Warning letter,N,478.122(b),https://atf-inspection-reports.s3.amazonaws.com/767080-2017-0024-B1B.pdf
775045-2016-0159-B1B,4-61-111-01-6E-03871,Dealer,"Mavf, LLC",111 Gun Shop,9301 Hurstbourne Park Blvd No. 1,Louisville,KY,40220,Jefferson,2016-02-16,2016-10-13,2017-06-01,Revocation/denial of renewal,Y,"478.99(c), 478.102(a), 478.99(a), 478.126a, 478.125(e), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.131(a)(2)",https://atf-inspection-reports.s3.amazonaws.com/775045-2016-0159-B1B.pdf
773030-2016-0420-B1B,4-34-063-01-7F-03371,Dealer,The Buffalo Trading Co Ltd,,2220 Bright Road,Findlay,OH,45840,Hancock,2016-03-01,2016-09-20,,Warning letter,N,"478.99(b), 478.124(c)(3)(iv), 478.21(a), 478.124(c)(5), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/773030-2016-0420-B1B.pdf
782075-2016-0253-B1B,5-76-201-07-7M-04648,Manufacturer,Set Tac Providers Inc,Lone Star Tactical Supply,10015 N Eldridge Pkwy. Ste. E107,Houston,TX,77065,Harris,2016-05-18,2016-09-29,,Warning letter,N,"478.124(c)(5), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/782075-2016-0253-B1B.pdf
785090-2015-0160-B1B,9-86-021-07-8K-05718,Manufacturer,SCFS Enterprises LLC,Sharky's Firearms,2015 W Apache Trl Ste 1,Apache Junction,AZ,85120,Pinal,2015-04-16,2016-01-21,2016-09-04,Revocation/denial of renewal,Y,"478.21(a), 478.99(c), 478.102(a), 478.123(a), 478.123(b), 478.123(d), 478.124(a), 478.124(b), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.126a, 478.128(c), 478.131(a)(2), 28 CFR 25.6(a)",https://atf-inspection-reports.s3.amazonaws.com/785090-2015-0160-B1B.pdf
785090-2016-0196-B1B,9-86-021-07-7L-05107,Manufacturer,"Senseney, Michael Edward",Red Barn Guns,10962 North Locust St,Florence,AZ,85132,Pinal,2016-05-13,2016-06-24,,Warning letter,N,"478.123(a), 478.123(d), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/785090-2016-0196-B1B.pdf
778025-2016-0148-B1B,3-39-005-07-6B-03022,Manufacturer,Henry Wisconsin LLC,,107 W. Coleman,Rice Lake,WI,54868,Barron,2015-10-01,2016-07-25,,Warning letter,N,"478.123(a), 478.123(b), 478.92(a)(1)",https://atf-inspection-reports.s3.amazonaws.com/778025-2016-0148-B1B.pdf
772070-2017-0072-B1B,3-37-005-01-7F-01988,Dealer,"Langham, Joe",Firearms After Four,1771 Tamalco Ave,Keyesport,IL,62253,Bond,2017-03-06,2017-04-10,,Warning letter,N,"478.102(a)(1), 478.21(a), 478.124(c)(1), 478.124(c)(5)",https://atf-inspection-reports.s3.amazonaws.com/772070-2017-0072-B1B.pdf
782075-2017-0146-B1B,5-74-149-01-0D-06371,Dealer,Bennie Pavlik & Robert Pavlik,Ben's Gun Store,706 Lyons Ave,Schulenburg,TX,78956,Fayette,2016-11-22,2017-03-28,,Warning letter,N,478.126a,https://atf-inspection-reports.s3.amazonaws.com/782075-2017-0146-B1B.pdf
760560-2016-0046-B1B,1-58-143-07-7E-06889,Manufacturer,"Stansell Construction, Inc.",Keep And Bear Arms,222 Floyd Road,Buchanan,GA,30113,Haralson,2015-10-02,2016-01-14,,Warning letter,N,"478.21(a), 478.102(a)(1), 478.124(c)(5)",https://atf-inspection-reports.s3.amazonaws.com/760560-2016-0046-B1B.pdf
773015-2017-0246-B1B,4-31-049-07-8C-05279,Manufacturer,"Charles Paul Whitehead, LLC",,1315 Oakhill Road,Blacklick,OH,43004,Franklin,2016-11-14,2017-01-27,,Warning letter,N,478.123(a),https://atf-inspection-reports.s3.amazonaws.com/773015-2017-0246-B1B.pdf
786040-2017-0065-B1B,9-77-029-02-9G-04105,Pawnbroker,"Libatique, Mark",MK Ultra Arms & MK Ultra Armory,7400 District Blvd. Suite A,Bakersfield,CA,93313,Kern,2016-11-23,2017-02-10,,Warning letter,N,"478.125(e), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/786040-2017-0065-B1B.pdf
766085-2016-0171-B1B,8-23-109-01-7F-04864,Dealer,"Margel, John G.",High Velocity Firearms,8 North Market Street,Selinsgrove,PA,17870,Snyder,2016-05-09,2016-09-07,,Warning letter,N,"478.125(e), 478.126a, 478.124(b)",https://atf-inspection-reports.s3.amazonaws.com/766085-2016-0171-B1B.pdf
785110-2016-0195-B1B,9-86-013-01-8L-05839,Dealer,"717 Enterprise, LLC",717 Supply / Alpha Arms,1507 E. Flower St.,Phoenix,AZ,85014,Maricopa,2016-06-10,2017-01-05,,Settlement,Y,"478.125(e), 478.99(a), 478.131(a)(2), 478.124(c)(5), 478.21(a), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.39a",https://atf-inspection-reports.s3.amazonaws.com/785110-2016-0195-B1B.pdf
785090-2017-0034-B1B,9-86-019-07-7K-05029,Manufacturer,"Brown, Timothy David",TBG,14201 N Gibson Trail,Tucson,AZ,85755,Pima,2016-10-04,2016-11-07,,Warning letter,N,478.126a,https://atf-inspection-reports.s3.amazonaws.com/785090-2017-0034-B1B.pdf
773015-2017-0340-B1B,4-31-129-07-8J-03886,Manufacturer,"Double Barrel Firearms, LLC",,4989 West Ford Road,Ashville,OH,43103,Pickaway,2017-02-06,2017-04-05,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5)",https://atf-inspection-reports.s3.amazonaws.com/773015-2017-0340-B1B.pdf
781080-2017-0128-B1B,5-75-221-01-9K-09068,Dealer,"JCS Import Automotive Services, Inc.",JCS Guns,3611 East Hwy 377,Granbury,TX,76049,Hood,2016-11-09,2017-04-25,,Warning letter,N,"478.125(e), 478.126a, 478.124(c)(3)(i)",https://atf-inspection-reports.s3.amazonaws.com/781080-2017-0128-B1B.pdf
788020-2017-0122-B1B,5-84-077-07-7K-05794,Manufacturer,"Viking Armament, Inc.",,"806 North Crest Drive, Unit #4",Grand Junction,CO,81506,Mesa,2017-01-18,2017-03-31,,Warning letter,N,"478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.126a, 478.123(d), 478.21(a)",https://atf-inspection-reports.s3.amazonaws.com/788020-2017-0122-B1B.pdf
766020-2016-0110-B1B,8-23-095-01-7L-34855,Dealer,"Mcpoyle, William",Jacobsburgs Guns,576 Jacobsburg Rd,Nazareth,PA,18064,Northampton,2015-10-26,2016-04-04,,Warning letter,N,"478.125(e), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/766020-2016-0110-B1B.pdf
788070-2016-0350-B1B,5-84-001-02-7M-05926,Pawnbroker,Pawnco LLC,Jumping Jack Cash,8851 N Washington,Thornton,CO,80229,Adams,2016-08-24,2016-12-21,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.126a, 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/788070-2016-0350-B1B.pdf
781025-2016-0127-B1B,5-75-183-02-7J-04263,Pawnbroker,"J&L Cash Depot, LLC",,902 West Highway 80,White Oak,TX,75963,Gregg,2016-03-09,2016-04-28,,Warning letter,N,"478.99(c)(6), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5)",https://atf-inspection-reports.s3.amazonaws.com/781025-2016-0127-B1B.pdf
782110-2016-0374-B1B,5-74-409-01-7H-07192,Dealer,RM Weaponry,,1307 Crosby,Portland,TX,78374,San Patricio,2016-07-11,2016-08-16,,Warning letter,N,478.126a,https://atf-inspection-reports.s3.amazonaws.com/782110-2016-0374-B1B.pdf
766060-2016-0447-B1B,8-25-073-01-9A-03313,Dealer,"Nesbit, Jeffrey R.",Nesbit Guns,3536 Ellwood Road,New Castle,PA,16101,Lawrence,2016-07-13,2016-09-12,,Warning letter,N,"478.21(a), 478.99(c), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.126a, 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/766060-2016-0447-B1B.pdf
782075-2017-0131-B1B,5-76-201-01-9C-90571,Dealer,"Great Western Supply Company, Inc.",,10616 A Hempstead,Houston,TX,77092,Harris,2016-11-07,2016-12-13,,Warning letter,N,"478.125(e), 478.21(a)",https://atf-inspection-reports.s3.amazonaws.com/782075-2017-0131-B1B.pdf
781110-2015-0198-B1B,5-75-451-01-7C-02400,Dealer,"Smith, Jesse Roy",Smith Gun,615 S Chadbourne,San Angelo,TX,76903,Tom Green,2015-07-01,2015-08-20,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/781110-2015-0198-B1B.pdf
